ID;MOTHER;FATHER
D2L1_63;D2;L1
D4L1_31;D4;L1
D4L1_32;D4;L1
D4L1_33;D4;L1
D5L3_31;D5;L3
D5L3_32;D5;L3
D5L3_33;D5;L3
D5L2_34;D5;L2
D5L2_35;D5;L2
D5L2_36;D5;L2
D2L1_64;D2;L1
D2L1_65;D2;L1
D2L1_66;D2;L1
D4L1_34;D4;L1
D4L1_35;D4;L1
D4L1_36;D4;L1
D5L3_34;D5;L3
D5L3_35;D5;L3
D5L3_36;D5;L3
D5L2_37;D5;L2
D5L2_38;D5;L2
D5L2_39;D5;L2
D2L1_67;D2;L1
D2L1_68;D2;L1
D2L1_69;D2;L1
D4L1_37;D4;L1
D4L1_38;D4;L1
D4L1_39;D4;L1
D5L3_37;D5;L3
D5L3_38;D5;L3
D5L3_39;D5;L3
D5L2_40;D5;L2
D5L2_41;D5;L2
D5L2_42;D5;L2
D2L1_70;D2;L1
D2L1_71;D2;L1
D2L1_72;D2;L1
D4L1_40;D4;L1
D4L1_41;D4;L1
D4L1_42;D4;L1
D5L3_40;D5;L3
D5L3_41;D5;L3
D5L3_42;D5;L3
D5L2_43;D5;L2
D5L2_44;D5;L2
D5L2_45;D5;L2
D2L1_73;D2;L1
D2L1_74;D2;L1
D2L1_75;D2;L1
D4L1_43;D4;L1
D4L1_44;D4;L1
D4L1_45;D4;L1
D5L3_43;D5;L3
D5L3_44;D5;L3
D5L3_45;D5;L3
D3Y1_91;D3;Y1
D3Y1_92;D3;Y1
D3Y1_93;D3;Y1
D2L1_76;D2;L1
D2L1_77;D2;L1
D2L1_78;D2;L1
D2L1_79;D2;L1
D2L1_80;D2;L1
D2L1_81;D2;L1
D4L1_46;D4;L1
D4L1_47;D4;L1
D4L1_48;D4;L1
D3Y1_94;D3;Y1
D3Y1_95;D3;Y1
D3Y1_96;D3;Y1
D2L1_82;D2;L1
D2L1_83;D2;L1
D2L1_84;D2;L1
D2L1_85;D2;L1
D2L1_86;D2;L1
D2L1_87;D2;L1
D4L1_49;D4;L1
D4L1_50;D4;L1
D4L1_51;D4;L1
D3Y1_97;D3;Y1
D3Y1_98;D3;Y1
D3Y1_99;D3;Y1
D2L1_88;D2;L1
D2L1_89;D2;L1
D2L1_90;D2;L1
D2L1_91;D2;L1
D2L1_92;D2;L1
D2L1_93;D2;L1
D4L1_52;D4;L1
D4L1_53;D4;L1
D4L1_54;D4;L1
D3Y1_100;D3;Y1
D3Y1_101;D3;Y1
D3Y1_102;D3;Y1
D2L1_94;D2;L1
D2L1_95;D2;L1
D2L1_96;D2;L1
D2L1_97;D2;L1
D2L1_98;D2;L1
D2L1_99;D2;L1
D4L1_55;D4;L1
D4L1_56;D4;L1
D4L1_57;D4;L1
D3Y1_103;D3;Y1
D3Y1_104;D3;Y1
D3Y1_105;D3;Y1
D2L1_100;D2;L1
D2L1_101;D2;L1
D2L1_102;D2;L1
D2L1_103;D2;L1
D2L1_104;D2;L1
D2L1_105;D2;L1
D4L1_58;D4;L1
D4L1_59;D4;L1
D4L1_60;D4;L1
D5L3_46;D5;L3
D5L3_47;D5;L3
D5L3_48;D5;L3
D3L3_61;D3;L3
D3L3_62;D3;L3
D3L3_63;D3;L3
D2L2_46;D2;L2
D2L2_47;D2;L2
D2L2_48;D2;L2
D4L3_46;D4;L3
D4L3_47;D4;L3
D4L3_48;D4;L3
D5L3_49;D5;L3
D5L3_50;D5;L3
D5L3_51;D5;L3
D3L3_64;D3;L3
D3L3_65;D3;L3
D3L3_66;D3;L3
D2L2_49;D2;L2
D2L2_50;D2;L2
D2L2_51;D2;L2
D4L3_49;D4;L3
D4L3_50;D4;L3
D4L3_51;D4;L3
D5L3_52;D5;L3
D5L3_53;D5;L3
D5L3_54;D5;L3
D3L3_67;D3;L3
D3L3_68;D3;L3
D3L3_69;D3;L3
D2L2_52;D2;L2
D2L2_53;D2;L2
D2L2_54;D2;L2
D4L3_52;D4;L3
D4L3_53;D4;L3
D4L3_54;D4;L3
D5L3_55;D5;L3
D5L3_56;D5;L3
D5L3_57;D5;L3
D3L3_70;D3;L3
D3L3_71;D3;L3
D3L3_72;D3;L3
D2L2_55;D2;L2
D2L2_56;D2;L2
D2L2_57;D2;L2
D4L3_55;D4;L3
D4L3_56;D4;L3
D4L3_57;D4;L3
D5L3_58;D5;L3
D5L3_59;D5;L3
D5L3_60;D5;L3
D3L3_73;D3;L3
D3L3_74;D3;L3
D3L3_75;D3;L3
D2L2_58;D2;L2
D2L2_59;D2;L2
D2L2_60;D2;L2
D4L3_58;D4;L3
D4L3_59;D4;L3
D4L3_60;D4;L3
D3L1_46;D3;L1
D3L1_47;D3;L1
D3L1_48;D3;L1
D2Y1_46;D2;Y1
D2Y1_47;D2;Y1
D2Y1_48;D2;Y1
D1Y1_46;D1;Y1
D1Y1_47;D1;Y1
D1Y1_48;D1;Y1
D3Y1_106;D3;Y1
D3Y1_107;D3;Y1
D3Y1_108;D3;Y1
D3L1_49;D3;L1
D3L1_50;D3;L1
D3L1_51;D3;L1
D2Y1_49;D2;Y1
D2Y1_50;D2;Y1
D2Y1_51;D2;Y1
D1Y1_49;D1;Y1
D1Y1_50;D1;Y1
D1Y1_51;D1;Y1
D3Y1_109;D3;Y1
D3Y1_110;D3;Y1
D3Y1_111;D3;Y1
D3L1_52;D3;L1
D3L1_53;D3;L1
D3L1_54;D3;L1
D2Y1_52;D2;Y1
D2Y1_53;D2;Y1
D2Y1_54;D2;Y1
D1Y1_52;D1;Y1
D1Y1_53;D1;Y1
D1Y1_54;D1;Y1
D3Y1_112;D3;Y1
D3Y1_113;D3;Y1
D3Y1_114;D3;Y1
D3L1_55;D3;L1
D3L1_56;D3;L1
D3L1_57;D3;L1
D2Y1_55;D2;Y1
D2Y1_56;D2;Y1
D2Y1_57;D2;Y1
D1Y1_55;D1;Y1
D1Y1_56;D1;Y1
D1Y1_57;D1;Y1
D3Y1_115;D3;Y1
D3Y1_116;D3;Y1
D3Y1_117;D3;Y1
D3L1_58;D3;L1
D3L1_59;D3;L1
D3L1_60;D3;L1
D2Y1_58;D2;Y1
D2Y1_59;D2;Y1
D2Y1_60;D2;Y1
D1Y1_58;D1;Y1
D1Y1_59;D1;Y1
D1Y1_60;D1;Y1
D3Y1_118;D3;Y1
D3Y1_119;D3;Y1
D3Y1_120;D3;Y1
D5L2_46;D5;L2
D5L2_47;D5;L2
D5L2_48;D5;L2
D3L2_46;D3;L2
D3L2_47;D3;L2
D3L2_48;D3;L2
D2L3_46;D2;L3
D2L3_47;D2;L3
D2L3_48;D2;L3
D1L3_46;D1;L3
D1L3_47;D1;L3
D1L3_48;D1;L3
D5L2_49;D5;L2
D5L2_50;D5;L2
D5L2_51;D5;L2
D3L2_49;D3;L2
D3L2_50;D3;L2
D3L2_51;D3;L2
D2L3_49;D2;L3
D2L3_50;D2;L3
D2L3_51;D2;L3
D1L3_49;D1;L3
D1L3_50;D1;L3
D1L3_51;D1;L3
D5L2_52;D5;L2
D5L2_53;D5;L2
D5L2_54;D5;L2
D3L2_52;D3;L2
D3L2_53;D3;L2
D3L2_54;D3;L2
D2L3_52;D2;L3
D2L3_53;D2;L3
D2L3_54;D2;L3
D1L3_52;D1;L3
D1L3_53;D1;L3
